OBJECTID,country,project_id,project_name,group_id,group_name,project_status,class,sub_class,grant_reference,phase,hectares,Shape__Area,Shape__Length
1403,Scotland,104000000027465,Lauder Common,103000000017247,Forest Carbon Group Scheme 13,Validated,Planted,Broadleaved (>80%),20FGS51943,8,17.63,176291.66848754883,10810.398686038012
1404,Scotland,104000000027465,Lauder Common,103000000017247,Forest Carbon Group Scheme 13,Validated,Planted,Conifer (>80%),20FGS51943,8,1.78,17800.102432250977,542.5350318941246
1405,Scotland,104000000027465,Lauder Common,103000000017247,Forest Carbon Group Scheme 13,Validated,Other,Existing Woodland,20FGS51943,8,0.37,3664.810989379883,337.3807165244414
1406,Scotland,104000000027465,Lauder Common,103000000017247,Forest Carbon Group Scheme 13,Validated,Other,Open Ground,20FGS51943,8,3.26,32594.81217956543,4422.174905307585
1407,England,104000000027466,Avoncliff,103000000017205,England Woodland Carbon 2021,Under Development,Planted,Broadleaved (>80%),n/a,8,3.79,37929.572132110596,2187.5118471899596
1408,England,104000000027466,Avoncliff,103000000017205,England Woodland Carbon 2021,Under Development,Other,Open Ground,n/a,8,2.94,29431.625453948975,3275.4014280057327
1409,Scotland,104000000027467,Dunnydeer Farm,,,Validated,Planted,Broadleaved (>80%),20FGS51843,8,28.35,283479.24575805664,5498.566604423048
1410,Scotland,104000000027467,Dunnydeer Farm,,,Validated,Planted,Conifer (>80%),20FGS51843,8,19.5,195034.83795166016,3611.1238372878165
1411,Scotland,104000000027467,Dunnydeer Farm,,,Validated,Other,Open Ground,20FGS51843,8,7.35,73537.38296508789,6426.670516643832
1412,Scotland,104000000027469,Easter Balbeggie,103000000017228,Greenspan Group One,Validated,Planted,Broadleaved (>80%),18FGS33478,8,8.92,89199.4652709961,2323.555660882499
1413,Scotland,104000000027469,Easter Balbeggie,103000000017228,Greenspan Group One,Validated,Other,Open Ground,18FGS33478,8,1.01,10056.175415039062,1566.6668558453493
1414,Scotland,104000000027470,Ladyurd,,,Validated,Planted,Broadleaved (>80%),20FGS49923,8,3.69,36852.966247558594,4721.833421749651
1415,Scotland,104000000027470,Ladyurd,,,Validated,Planted,Conifer (>80%),20FGS49923,8,38.8,387987.64825439453,9671.162729719985
1416,Scotland,104000000027470,Ladyurd,,,Validated,Other,Existing Woodland,20FGS49923,8,7.75,77514.390625,2321.2908984575265
1417,Scotland,104000000027470,Ladyurd,,,Validated,Other,Open Ground,20FGS49923,8,6.83,68333.07307434082,8584.985483964507
1418,Scotland,104000000027472,Loubcroy,,,Validated,Planted,Broadleaved (>80%),19FGS40563,8,40.06,400579.0496368408,26371.1352767523
1419,Scotland,104000000027472,Loubcroy,,,Validated,Planted,Conifer (>80%),19FGS40563,8,156,1559966.1425323486,34584.07729947965
1420,Scotland,104000000027472,Loubcroy,,,Validated,Other,Open Ground,19FGS40563,8,174.8,1747968.1280670166,58325.728921746755
